epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1051.88,0.58078,0.36253,0.84556,0.80193,0.73763,0.79597,0.5564,0.91425,0.71062,0.99456,0.000181511,0.000181511,0.000181511
160,1058.86,0.58167,0.36476,0.84702,0.7651,0.78064,0.79713,0.55807,0.91527,0.69328,0.99347,0.000177387,0.000177387,0.000177387
161,1065.82,0.57582,0.36591,0.84275,0.78554,0.75906,0.79211,0.545,0.92136,0.69506,0.99499,0.000173264,0.000173264,0.000173264
162,1072.6,0.57649,0.35834,0.84281,0.78707,0.74505,0.79541,0.55467,0.92814,0.69423,0.99829,0.000169141,0.000169141,0.000169141
163,1079.48,0.57702,0.36304,0.84563,0.767,0.73944,0.7751,0.54484,0.91128,0.70122,0.99552,0.000165017,0.000165017,0.000165017
164,1086.27,0.5758,0.36344,0.84762,0.78154,0.74312,0.78125,0.5502,0.91473,0.69156,0.99808,0.000160894,0.000160894,0.000160894
165,1093.23,0.56856,0.35582,0.84339,0.78939,0.74994,0.78816,0.54456,0.91808,0.6939,1.00094,0.000156771,0.000156771,0.000156771
166,1100.06,0.58411,0.36367,0.84815,0.79349,0.74436,0.78943,0.55286,0.92262,0.68014,1.00445,0.000152647,0.000152647,0.000152647
167,1106.96,0.56551,0.35425,0.83819,0.78712,0.74621,0.78384,0.54897,0.92395,0.67951,1.00028,0.000148524,0.000148524,0.000148524
168,1113.72,0.56226,0.35772,0.83923,0.78154,0.75605,0.77961,0.54841,0.91927,0.68223,1.00284,0.000144401,0.000144401,0.000144401
169,1120.56,0.56733,0.35335,0.84312,0.79408,0.74522,0.78743,0.54351,0.92441,0.68478,1.00484,0.000140277,0.000140277,0.000140277
170,1127.28,0.56389,0.34932,0.84194,0.7773,0.75311,0.77803,0.54445,0.92374,0.6873,1.00967,0.000136154,0.000136154,0.000136154
171,1133.92,0.56277,0.34827,0.84032,0.79331,0.72636,0.78281,0.55664,0.9166,0.69673,0.99875,0.000132031,0.000132031,0.000132031
172,1140.49,0.55923,0.34836,0.83913,0.79256,0.74523,0.78868,0.55783,0.91549,0.68207,1.00019,0.000127907,0.000127907,0.000127907
173,1147.18,0.55382,0.34831,0.83981,0.79339,0.75238,0.78413,0.55158,0.91329,0.69065,0.99858,0.000123784,0.000123784,0.000123784
174,1153.76,0.54317,0.33946,0.83622,0.78285,0.7316,0.77248,0.54296,0.91536,0.71671,0.99808,0.00011966,0.00011966,0.00011966
175,1160.31,0.55367,0.34107,0.84166,0.78272,0.74465,0.78379,0.54353,0.92937,0.69462,1.00163,0.000115537,0.000115537,0.000115537
176,1166.95,0.54633,0.34135,0.83858,0.78443,0.74822,0.77443,0.5499,0.91443,0.6852,0.9984,0.000111414,0.000111414,0.000111414
177,1173.53,0.54504,0.34227,0.83606,0.78658,0.76236,0.77898,0.55429,0.90966,0.68351,0.99779,0.00010729,0.00010729,0.00010729
178,1180.12,0.54287,0.34117,0.83902,0.79295,0.74112,0.78077,0.54752,0.90995,0.68555,0.99856,0.000103167,0.000103167,0.000103167
179,1186.97,0.5476,0.33612,0.83937,0.79135,0.7347,0.77977,0.55054,0.92505,0.69933,1.00834,9.90437e-05,9.90437e-05,9.90437e-05
